,work_id,name,artist_id,style,museum_id,subject
1149,31870,Crossing the River,560,16,"",5
1150,31872,Harmless Hunter,560,16,"",""
1151,31874,Her Heart is on the Ground,560,16,"",1
1152,31876,In the Enemy"s Country,560,16,"",1
1153,31878,In Without Knocking,560,16,"",1
1154,31880,"Innocent Allies, The Holdup",560,16,"",1
1155,31882,Jerked Down,560,16,"",1
1156,31886,Lewis and Clark Reach Shoshone Camp Led by Sacajawea the &quot;Bird Woman&quot;,560,16,"",""
1157,31884,Lewis and Clark Expedition,560,16,"",""
1158,31888,Loops and Swift Horses Are Surer than Lead,560,16,"",1
1159,31890,Meat"s Not Meat Till it"s in the Pan,560,16,"",1
1160,31892,Medicine Man,560,16,"",1
1161,31894,Not a Chinaman"s Chance,560,16,"",""
1162,31896,Smoke of a .45,560,16,"",1
1163,31898,The Beggars,560,16,"",1
1164,31900,The Buffalo Hunt,560,16,"",""
1165,31902,The Camp Cook"s Troubles,560,16,"",1
1166,31904,The Custer Fight,560,16,"",1
1167,31906,The Strenuous Life,560,16,"",1
1168,123626,George Washington,543,"","",4
1169,123615,George Washington at Princeton,543,"","",4
1170,123659,Joseph Howell Jr.,543,"","",3
1171,123637,Portrait of George Washington,543,"","",4
1172,123670,Portrait of Mrs. Jacob Ten Broeck and Daughter,543,"","",3
1173,123681,Self-Portrait,543,"","",3
1174,123692,Thomas Corcoran,543,"","",3
1175,123648,Thomas Jefferson,543,"","",4
1176,191823,Auvers-sur-Oise,584,11,"",""
1177,191745,Lunch Break in the Fields,584,11,"",""
1178,191761,On the Path,584,11,"",""
1179,191754,Peeling Potatoes,584,11,"",""
1180,191775,Portrait of a Young Girl,584,11,"",""
1181,191798,Sainte Genevieve,584,11,"",""
1182,191807,The Arab Jeweler,584,11,"",""
1183,191815,The Pottery Seller in Old City Cairo,584,11,"",""
1184,191768,Wild Flowers,584,11,"",""
1185,191789,Young Girl of Auvers-sur-Oise,584,11,"",""
1186,184392,A Bay Hunter Saddled Outside a Stable,566,17,"",1
1187,184403,A Gentleman on a Galloping Chestnut Horse,566,17,"",1
1188,184432,A Horseman and Figures on a Country Lane,566,17,"",""
1189,184414,A Huntsman on a Grey Hunter in an Extensive Landscape,566,17,"",1
1190,184459,An English Pointer in a Landscape,566,17,"",20
1191,184441,Landscape with a Shepherd,566,17,"",""
1192,184477,The Stag Hunt,566,17,"",20
1193,184423,"The Stallion, Gillibrand",566,17,"",1
1194,184450,The Watering Place,566,17,"",""
1195,184495,Three Horses in a Stormy Landscape,566,17,"",1
1196,184486,Tigers,566,17,"",28
1197,184468,Two Pointers in a Landscape,566,17,"",20
1198,28183,Anne Catharine Hoof Green,718,"","",3
1199,28185,Benjamin and Eleanor Ridgely Laming,718,"",46,3
1200,28187,David Rittenhouse,718,"","",3
1201,28189,Edward Burd,718,"","",3
1202,28191,Eleanor Miller (Mrs. Francis Bailey),718,"","",3
1203,28193,Elie Williams,718,"",35,3
1204,28195,Elizabeth DePeyster Peale,718,"","",3
1205,28197,Francis Bailey,718,"","",3
1206,28199,George Washington,718,"","",4
1207,28201,George Washington at Princeton,718,"",53,4
1208,207063,George Washington at the Battle of Princeton,718,"",53,""
1209,28203,George Washington at the Battle of Princeton,718,"","",4
1210,188128,George Washington,718,"","",4
1211,28205,James Crawford and Daughter,718,"","",3
1212,28207,John Beale Bordley,718,"",46,3
1213,28209,Jonathan Dickinson Sergeant,718,"","",3
1214,28211,Margaret Strachan (Mrs. Thomas Harwood),718,"",35,3
1215,28213,Mr. and Mrs. Alexander Robinson,718,"","",3
1216,28215,Mr. Thomas Russell,718,"","",3
1217,28217,Mrs. James Smith and Grandson,718,"","",3
1218,28219,Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,718,"",35,3
1219,28221,Mrs. Thomas Russell,718,"","",3
1220,28223,Portrait of Dr. Thomas Cadwalader,718,"",67,3
1221,28225,Portrait of George Washington,718,"","",4
1222,28227,Portrait of Hannah Lambert Cadwalader,718,"",67,3
1223,28229,Portrait of John and Elizabeth Lloyd Cadwalader and Their Daughter Anne,718,"",67,3
